ID,LOINC_CODE,CODE_SET_ID,GROUP_IDENTIFIER,COMPONENT_NAME,REFERENCE_VALUE_TYPE,UNIT,REFERENCE_RANGE_LOW,REFERENCE_RANGE_HIGH,AUTO_MAP_TITLE,AUTO_ID,"truncate table taxonomy_staging.standard_references.lab;
INSERT INTO TAXONOMY_STAGING.STANDARD_REFERENCES.LAB
(ID, LOINC_CODE, CODE_SET_ID, GROUP_IDENTIFIER, COMPONENT_NAME, REFERENCE_VALUE_TYPE, UNIT, REFERENCE_RANGE_LOW, REFERENCE_RANGE_HIGH) VALUES"
27,3094-0,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,Urea nitrogen [Mass/volume] in Serum or Plasma,numeric,mg/dL,8,23,Urea nitrogen [Mass/volume] in Serum or Plasma: mg/dL,27,"('27','3094-0','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Urea nitrogen [Mass/volume] in Serum or Plasma','numeric','mg/dL','8','23'),"
28,3097-3,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,Urea nitrogen/Creatinine [Mass Ratio] in Serum or Plasma,numeric,mg/mg{creat},10,20,Urea nitrogen/Creatinine [Mass Ratio] in Serum or Plasma: mg/mg{creat},28,"('28','3097-3','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Urea nitrogen/Creatinine [Mass Ratio] in Serum or Plasma','numeric','mg/mg{creat}','10','20'),"
29,2160-0,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,Creatinine [Mass/volume] in Serum or Plasma,numeric,mg/dL,0.8,1.3,Creatinine [Mass/volume] in Serum or Plasma: mg/dL,29,"('29','2160-0','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Creatinine [Mass/volume] in Serum or Plasma','numeric','mg/dL','0.8','1.3'),"
30,38483-4,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,Creatinine [Mass/volume] in Blood,numeric,mg/dL,0.8,1.3,Creatinine [Mass/volume] in Blood: mg/dL,30,"('30','38483-4','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Creatinine [Mass/volume] in Blood','numeric','mg/dL','0.8','1.3'),"
31,12190-5,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,Creatinine [Mass/volume] in Body fluid,numeric,mg/dL,0.8,1.3,Creatinine [Mass/volume] in Body fluid: mg/dL,31,"('31','12190-5','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Creatinine [Mass/volume] in Body fluid','numeric','mg/dL','0.8','1.3'),"
32,1751-7,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,Albumin [Mass/volume] in Serum or Plasma,numeric,g/dL,3.5,5.5,Albumin [Mass/volume] in Serum or Plasma: g/dL,32,"('32','1751-7','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Albumin [Mass/volume] in Serum or Plasma','numeric','g/dL','3.5','5.5'),"
33,2862-1,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,Albumin [Mass/volume] in Serum or Plasma by Electrophoresis,numeric,g/dL,3.5,5.5,Albumin [Mass/volume] in Serum or Plasma by Electrophoresis: g/dL,33,"('33','2862-1','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Albumin [Mass/volume] in Serum or Plasma by Electrophoresis','numeric','g/dL','3.5','5.5'),"
34,2881-1,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,Protein [Mass/volume] in Body fluid,numeric,g/dL,,,Protein [Mass/volume] in Body fluid: g/dL,34,"('34','2881-1','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Protein [Mass/volume] in Body fluid','numeric','g/dL','',''),"
35,2885-2,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,Protein [Mass/volume] in Serum or Plasma,numeric,g/dL,5.5,8.0,Protein [Mass/volume] in Serum or Plasma: g/dL,35,"('35','2885-2','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Protein [Mass/volume] in Serum or Plasma','numeric','g/dL','5.5','8.0'),"
36,33358-3,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,Protein.monoclonal [Mass/volume] in Serum or Plasma by Electrophoresis,numeric,g/dL,,,Protein.monoclonal [Mass/volume] in Serum or Plasma by Electrophoresis: g/dL,36,"('36','33358-3','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Protein.monoclonal [Mass/volume] in Serum or Plasma by Electrophoresis','numeric','g/dL','',''),"
37,14338-8,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,Prealbumin [Mass/volume] in Serum or Plasma,numeric,mg/dL,,,Prealbumin [Mass/volume] in Serum or Plasma: mg/dL,37,"('37','14338-8','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Prealbumin [Mass/volume] in Serum or Plasma','numeric','mg/dL','',''),"
38,6768-6,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma {ALP},numeric,U/L,30,120,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma {ALP}: U/L,38,"('38','6768-6','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma {ALP}','numeric','U/L','30','120'),"
39,1742-6,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma {SGPT},numeric,U/L,0,25,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma {SGPT}: U/L,39,"('39','1742-6','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma {SGPT}','numeric','U/L','0','25'),"
40,1920-8,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma {SGOT},numeric,U/L,0,25,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma {SGOT}: U/L,40,"('40','1920-8','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma {SGOT}','numeric','U/L','0','25'),"
41,1975-2,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,Bilirubin.total [Mass/volume] in Serum or Plasma,numeric,mg/dL,0.3,1.0,Bilirubin.total [Mass/volume] in Serum or Plasma: mg/dL,41,"('41','1975-2','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Bilirubin.total [Mass/volume] in Serum or Plasma','numeric','mg/dL','0.3','1.0'),"
42,1971-1,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,Bilirubin.indirect [Mass/volume] in Serum or Plasma,numeric,mg/dL,,,Bilirubin.indirect [Mass/volume] in Serum or Plasma: mg/dL,42,"('42','1971-1','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Bilirubin.indirect [Mass/volume] in Serum or Plasma','numeric','mg/dL','',''),"
43,1968-7,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,Bilirubin.direct [Mass/volume] in Serum or Plasma,numeric,mg/dL,,,Bilirubin.direct [Mass/volume] in Serum or Plasma: mg/dL,43,"('43','1968-7','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Bilirubin.direct [Mass/volume] in Serum or Plasma','numeric','mg/dL','',''),"
,,,,,,,,,:,,
101,6690-2,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Leukocytes [#/volume] in Blood by Automated count {WBC},numeric,10*3/uL,4.4,11.3,Leukocytes [#/volume] in Blood by Automated count {WBC}: 10*3/uL,101,"('101','6690-2','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Leukocytes [#/volume] in Blood by Automated count {WBC}','numeric','10*3/uL','4.4','11.3'),"
102,789-8,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Erythrocytes [#/volume] in Blood by Automated count {RBC},numeric,10*6/uL,4.7,6.1,Erythrocytes [#/volume] in Blood by Automated count {RBC}: 10*6/uL,102,"('102','789-8','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Erythrocytes [#/volume] in Blood by Automated count {RBC}','numeric','10*6/uL','4.7','6.1'),"
103,791-4,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Erythrocytes [#/volume] in Cerebral spinal fluid by Automated count,numeric,10*6/uL,,,Erythrocytes [#/volume] in Cerebral spinal fluid by Automated count: 10*6/uL,103,"('103','791-4','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Erythrocytes [#/volume] in Cerebral spinal fluid by Automated count','numeric','10*6/uL','',''),"
104,718-7,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Hemoglobin [Mass/volume] in Blood {Hgb},numeric,g/dL,14,18,Hemoglobin [Mass/volume] in Blood {Hgb}: g/dL,104,"('104','718-7','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Hemoglobin [Mass/volume] in Blood {Hgb}','numeric','g/dL','14','18'),"
105,4548-4,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Hemoglobin A1c/Hemoglobin.total in Blood,numeric,%,,,Hemoglobin A1c/Hemoglobin.total in Blood: %,105,"('105','4548-4','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Hemoglobin A1c/Hemoglobin.total in Blood','numeric','%','',''),"
106,42810-2,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Hemoglobin [Entitic mass] in Reticulocytes,numeric,pg,,,Hemoglobin [Entitic mass] in Reticulocytes: pg,106,"('106','42810-2','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Hemoglobin [Entitic mass] in Reticulocytes','numeric','pg','',''),"
107,4544-3,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Hematocrit [Volume Fraction] of Blood by Automated count {HCT},numeric,%,42,52,Hematocrit [Volume Fraction] of Blood by Automated count {HCT}: %,107,"('107','4544-3','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Hematocrit [Volume Fraction] of Blood by Automated count {HCT}','numeric','%','42','52'),"
108,787-2,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,MCV [Entitic volume] by Automated count {Mean corpuscular volume},numeric,fL,80,100,MCV [Entitic volume] by Automated count {Mean corpuscular volume}: fL,108,"('108','787-2','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','MCV [Entitic volume] by Automated count {Mean corpuscular volume}','numeric','fL','80','100'),"
109,785-6,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,MCH [Entitic mass] by Automated count {Mean corpuscular hemoglobin},numeric,pg,27,32,MCH [Entitic mass] by Automated count {Mean corpuscular hemoglobin}: pg,109,"('109','785-6','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','MCH [Entitic mass] by Automated count {Mean corpuscular hemoglobin}','numeric','pg','27','32'),"
110,786-4,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,MCHC [Mass/volume] by Automated count,numeric,g/dL,32,36,MCHC [Mass/volume] by Automated count: g/dL,110,"('110','786-4','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','MCHC [Mass/volume] by Automated count','numeric','g/dL','32','36'),"
111,30384-2,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Erythrocyte distribution width [Entitic volume] {RDW-SD},numeric,fL,40.0,55.0,Erythrocyte distribution width [Entitic volume] {RDW-SD}: fL,111,"('111','30384-2','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Erythrocyte distribution width [Entitic volume] {RDW-SD}','numeric','fL','11.5','55.0'),"
112,30385-9,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Erythrocyte distribution width [Ratio] {RDW-CV},numeric,%,11.5,14.5,Erythrocyte distribution width [Ratio] {RDW-CV}: %,112,"('112','30385-9','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Erythrocyte distribution width [Ratio] {RDW-CV}','numeric','%','150','14.5'),"
113,777-3,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Platelets [#/volume] in Blood by Automated count,numeric,10*3/uL,150,450,Platelets [#/volume] in Blood by Automated count: 10*3/uL,113,"('113','777-3','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Platelets [#/volume] in Blood by Automated count','numeric','10*3/uL','150','450'),"
114,28542-9,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Platelet mean volume [Entitic volume] in Blood {MPV},numeric,fL,7.5,11.0,Platelet mean volume [Entitic volume] in Blood {MPV}: fL,114,"('114','28542-9','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Platelet mean volume [Entitic volume] in Blood {MPV}','numeric','fL','7.5','11.0'),"
115,32207-3,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Platelet distribution width [Entitic volume] in Blood by Automated count {PDW},numeric,fL,,,Platelet distribution width [Entitic volume] in Blood by Automated count {PDW}: fL,115,"('115','32207-3','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Platelet distribution width [Entitic volume] in Blood by Automated count {PDW}','numeric','fL','',''),"
116,71693-6,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Platelets reticulated/100 platelets in Blood by Automated count,numeric,%,,,Platelets reticulated/100 platelets in Blood by Automated count: %,116,"('116','71693-6','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Platelets reticulated/100 platelets in Blood by Automated count','numeric','%','',''),"
117,14196-0,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Reticulocytes [#/volume] in Blood,numeric,10*3/uL,,,Reticulocytes [#/volume] in Blood: 10*3/uL,117,"('117','14196-0','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Reticulocytes [#/volume] in Blood','numeric','10*3/uL','',''),"
118,17849-1,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Reticulocytes/100 erythrocytes in Blood by Automated count,numeric,%,,,Reticulocytes/100 erythrocytes in Blood by Automated count: %,118,"('118','17849-1','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Reticulocytes/100 erythrocytes in Blood by Automated count','numeric','%','',''),"
119,33516-6,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Immature reticulocytes/Reticulocytes.total in Blood,numeric,%,,,Immature reticulocytes/Reticulocytes.total in Blood: %,119,"('119','33516-6','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Immature reticulocytes/Reticulocytes.total in Blood','numeric','%','',''),"
120,30392-5,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Nucleated erythrocytes [#/volume] in Blood {NRBC #},numeric,10*3/uL,,,Nucleated erythrocytes [#/volume] in Blood {NRBC #}: 10*3/uL,120,"('120','30392-5','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Nucleated erythrocytes [#/volume] in Blood {NRBC #}','numeric','10*3/uL','',''),"
121,19048-8,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Nucleated erythrocytes/100 leukocytes [Ratio] in Blood {NRBC %},numeric,/100{WBCs},,,Nucleated erythrocytes/100 leukocytes [Ratio] in Blood {NRBC %}: /100{WBCs},121,"('121','19048-8','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Nucleated erythrocytes/100 leukocytes [Ratio] in Blood {NRBC %}','numeric','/100{WBCs}','',''),"
122,52816-6,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Nucleated cells [#/volume] in Cerebral spinal fluid by Automated count,numeric,10*3/uL,,,Nucleated cells [#/volume] in Cerebral spinal fluid by Automated count: 10*3/uL,122,"('122','52816-6','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Nucleated cells [#/volume] in Cerebral spinal fluid by Automated count','numeric','10*3/uL','',''),"
123,71690-2,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Nucleated cells [#/volume] in Body fluid by Automated count,numeric,10*3/uL,,,Nucleated cells [#/volume] in Body fluid by Automated count: 10*3/uL,123,"('123','71690-2','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Nucleated cells [#/volume] in Body fluid by Automated count','numeric','10*3/uL','',''),"
